Entity,Attribute,Container,Qualifier,Reference,DOM,Type,Description
Account,,,,,,,
,balance,bank,,,interestEarnedYtd,<COMPONENT>Money,The total account value
,balance,bill,,,amountDue,<COMPONENT>Money,
,balance,insurance,,,cashValue,<COMPONENT>Money,
,balance,investment,,,totalBalance,<COMPONENT>Money,
,balance,loan,,,principalBalance,<COMPONENT>Money,
,balance,creditCard,,,runningBalance,<COMPONENT>Money,
